Frequency(Hz),Impedance
2.29E+06,1.864328643
2.30E+06,1.862055147
2.30E+06,1.859754506
2.30E+06,1.857442331
2.30E+06,1.855117005
2.31E+06,1.852790199
2.31E+06,1.850438034
2.31E+06,1.848102503
2.31E+06,1.845721157
2.32E+06,1.843365831
2.32E+06,1.840997654
2.32E+06,1.838590008
2.32E+06,1.836184706
2.33E+06,1.83377591
2.33E+06,1.831357078
2.33E+06,1.828942927
2.33E+06,1.826497433
2.34E+06,1.824022712
2.34E+06,1.821563411
2.34E+06,1.819090356
2.34E+06,1.816608057
2.35E+06,1.814105201
2.35E+06,1.811595627
2.35E+06,1.809062079
2.35E+06,1.806544467
2.36E+06,1.803994138
2.36E+06,1.801433951
2.36E+06,1.798869754
2.36E+06,1.796279967
2.37E+06,1.793703598
2.37E+06,1.791094619
2.37E+06,1.788448392
2.37E+06,1.78584599
2.38E+06,1.783176107
2.38E+06,1.780539921
2.38E+06,1.777865724
2.38E+06,1.775148389
2.39E+06,1.772480669
2.39E+06,1.769774054
2.39E+06,1.767041264
2.39E+06,1.764312236
2.40E+06,1.761551005
2.40E+06,1.758776971
2.40E+06,1.755993657
2.40E+06,1.753199129
2.41E+06,1.750382606
2.41E+06,1.747556272
2.41E+06,1.744713414
2.41E+06,1.741848397
2.42E+06,1.738999097
2.42E+06,1.736078037
2.42E+06,1.733184932
2.42E+06,1.730269626
2.43E+06,1.727322525
2.43E+06,1.724370182
2.43E+06,1.721394794
2.43E+06,1.718431262
2.44E+06,1.715382251
2.44E+06,1.712355802
2.44E+06,1.709334397
2.44E+06,1.70626244
2.45E+06,1.70316136
2.45E+06,1.700086578
2.45E+06,1.696973447
2.45E+06,1.693819234
2.46E+06,1.69065842
2.46E+06,1.687480678
2.46E+06,1.684316322
2.46E+06,1.681084943
2.47E+06,1.677846219
2.47E+06,1.674590704
2.47E+06,1.671316156
2.47E+06,1.668004513
2.48E+06,1.664686658
2.48E+06,1.66133538
2.48E+06,1.657972324
2.48E+06,1.654594244
2.49E+06,1.651184436
2.49E+06,1.647748861
2.49E+06,1.644299103
2.49E+06,1.640799873
2.50E+06,1.637290992
2.50E+06,1.633765328
2.50E+06,1.630210929
2.50E+06,1.62661135
2.51E+06,1.622992719
2.51E+06,1.619384563
2.51E+06,1.615708341
2.51E+06,1.612028622
2.52E+06,1.608319301
2.52E+06,1.60456976
2.52E+06,1.600775396
2.52E+06,1.596994948
2.53E+06,1.593146439
2.53E+06,1.589281806
2.53E+06,1.585382199
2.53E+06,1.581463891
2.54E+06,1.577502624
2.54E+06,1.573519715
2.54E+06,1.569491591
2.54E+06,1.565432637
2.55E+06,1.561347266
2.55E+06,1.557215147
2.55E+06,1.553055884
2.55E+06,1.548862133
2.56E+06,1.544622028
2.56E+06,1.540363115
2.56E+06,1.53605656
2.56E+06,1.531691755
2.57E+06,1.527332267
2.57E+06,1.52288542
2.57E+06,1.518409987
2.57E+06,1.513909209
2.58E+06,1.50935396
2.58E+06,1.504733384
2.58E+06,1.500092112
2.58E+06,1.495410088
2.59E+06,1.490683698
2.59E+06,1.485904611
2.59E+06,1.481088338
2.59E+06,1.476177576
2.60E+06,1.47126072
2.60E+06,1.466283049
2.60E+06,1.461234691
2.60E+06,1.456158679
2.61E+06,1.450999295
2.61E+06,1.445808399
2.61E+06,1.440523381
2.61E+06,1.435226467
