,principal_component1,principal_component2
1653675562,2.171761444318671,-0.028989969072769538
1653675562,2.171761444318671,-0.028989969072769538
1653675562,2.172509813539102,-0.029261624980570687
1653675562,2.1709369059946537,-0.03099941523731471
1653675563,2.1709369059946537,-0.03099941523731471
1653675563,2.1707650865416035,-0.03093751554987457
1653675563,2.1707650865416035,-0.03093751554987457
1653675563,2.1707650865416035,-0.03093751554987457
1653675563,2.1707650865416035,-0.03093751554987457
1653675564,2.170525346467361,-0.030817034725450096
1653675564,2.1720341441348654,-0.02905757308517865
1653675564,2.1720341441348654,-0.02905757308517865
1653675564,2.1695410479169346,-0.03046180774668133
1653675565,2.1701155910778187,-0.028330323526140587
1653675565,2.1701155910778187,-0.028330323526140587
1653675565,2.1701155910778187,-0.028330323526140587
1653675565,-0.6782330554463796,0.36775882521022707
1653675566,-0.8471666565958116,-0.05810105285660184
1653675566,-0.8471666565958116,-0.05810105285660184
1653675566,-0.8471666565958116,-0.05810105285660184
1653675566,-0.8463622108760523,-0.05607314867533122
1653675567,-0.8471666565958116,-0.05810105285660184
1653675567,-0.8471666565958116,-0.05810105285660184
1653675567,-0.8471666565958116,-0.05810105285660184
1653675567,-0.8471666565958116,-0.05810105285660184
1653675568,-0.8471666565958116,-0.05810105285660184
1653675568,-0.8471666565958116,-0.05810105285660184
1653675568,-0.8471666565958116,-0.05810105285660184
1653675568,-0.8463622108760523,-0.05607314867533122
1653675569,-0.8463622108760523,-0.05607314867533122
1653675569,-0.8463622108760523,-0.05607314867533122
1653675569,-0.8471666565958116,-0.05810105285660184
1653675569,-0.8471666565958116,-0.05810105285660184
1653675570,-0.8471666565958116,-0.05810105285660184
1653675570,-0.8471666565958116,-0.05810105285660184
1653675570,-0.8471666565958116,-0.05810105285660184
1653675570,-0.8471666565958116,-0.05810105285660184
1653675570,-0.8471666565958116,-0.05810105285660184
1653675571,-0.8471666565958116,-0.05810105285660184
1653675571,-0.8471666565958116,-0.05810105285660184
1653675571,-0.8471666565958116,-0.05810105285660184
1653675571,-0.8463622108760523,-0.05607314867533122
1653675572,-0.8471666565958116,-0.05810105285660184
1653675572,-0.8471666565958116,-0.05810105285660184
1653675572,-0.8471666565958116,-0.05810105285660184
1653675572,-0.8471666565958116,-0.05810105285660184
1653675573,-0.8463622108760523,-0.05607314867533122
1653675573,-0.8463622108760523,-0.05607314867533122
1653675573,-0.8471666565958116,-0.05810105285660184
1653675573,-0.8471666565958116,-0.05810105285660184
1653675574,-0.8471666565958116,-0.05810105285660184
1653675574,-0.8471666565958116,-0.05810105285660184
1653675574,-0.8471666565958116,-0.05810105285660184
1653675574,-0.8471666565958116,-0.05810105285660184
1653675575,-0.8471666565958116,-0.05810105285660184
